name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
栗衣みい,,,栗衣みい,琴音、るい,https://www.minnano-av.com/p_actress_125_125/017/358527.jpg?new,1998-09-06,A,148,,82 - 55 - 79,,TRUE,,2017,アリスJAPAN,,,,
桂木麻也子,,,桂木麻也子,,https://www.minnano-av.com/p_actress_125_125/004/877789.jpg?new,1966-03-07,A,162,,88 - 57 - 88,,TRUE,1989,1987,,,,,
桃乃木かな,,桃乃木香奈,桃乃木かな,松嶋真麻,https://commons.wikimedia.org/wiki/Special:FilePath/180727_%E9%BE%8D%E3%81%8C%E5%A6%82%E3%81%8F3_%E3%83%95%E3%82%A1%E3%83%B3%E4%BC%9A%E8%AD%B02_(20).jpg?width=200,1996-12-24,AB,153,40kg,80 - 54 - 80,E,TRUE,2025,2015-09-24,アイデアポケット,Kana_Momonogi,kana_momonogi,,
桐谷まつり,,桐谷茉莉,桐谷まつり,,https://commons.wikimedia.org/wiki/Special:FilePath/Akihabata_20181201_CIMG6833-1.jpg?width=200,1996-08-15,B,165,,91 - 59 - 88,H,TRUE,,2016-10-03,溜池ゴロー,,,,
桜もこ,,櫻萌子,桜もこ,,https://commons.wikimedia.org/wiki/Special:FilePath/Mikami_Yua_to_K-POP_CIMG6779-1.jpg?width=200,1991-03-19,,153,,79 - 55 - 76,B,TRUE,2024-03-20,2017-11-01,アタッカーズ,moko_sakura3,mokochan319,,
桜井あゆ,,,桜井あゆ,加藤はるき、合倉さゆ,https://commons.wikimedia.org/wiki/Special:FilePath/Movie_%E2%80%9CBlue_Porno%E2%80%9D_Stage_Greetings_Ikebukuro_Cinema_Rosa_IMG_9644sakurai.jpg?width=200,1991-04-15,A,162,50kg,82 - 59 - 81,B,TRUE,2016,2013,K.M.Produce,yoshimi_mio,sakurai.ayu,ayusakurai,
桜井彩,,櫻井彩,桜井彩,,,1989-02-24,O,158,,90 - 58 - 82,H,TRUE,2020,2012,エスワン,sakurai_aya_,sakurai_aya_0224,,
桜空もも,,樱空桃,桜空もも,,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(September_27%2C_2025)IMG_2521.jpg?width=200,1996-12-03,O,160,45kg,90 - 55 - 86,G,FALSE,,2017,アイデアポケット,sakumomo1203,sakuramomo_official,,
森なな子,,森奈奈子,森なな子,,,1988-02-13,AB,167,,,,FALSE,,,マウスプロモーション,mory7585,nanako.m0213,,
森沢かな,,森澤佳奈,森沢かな,飯岡、かなこ,https://commons.wikimedia.org/wiki/Special:FilePath/Movie_%E2%80%9CBlue_Porno%E2%80%9D_Stage_Greetings_Ikebukuro_Cinema_Rosa_IMG_9655-1.jpg?width=200,1992-05-09,O,160,,86 - 59 - 86,F,FALSE,,2012-07-13,,morisawa_kana,morisawa_kana,,
森罗万象,,,森罗万象,,,,,,,,,FALSE,,,,,,,
楓ふうあ,,楓富愛,楓ふうあ,,https://commons.wikimedia.org/wiki/Special:FilePath/Fresh_Festival_2023_in_Shirakobato_Water_Park_IMG_1104.jpg?width=200,2001-04-20,,170,,93 - 59 - 88,F,FALSE,,2021-10-28,S1,kaede_fu_a,fuua_kaede,fua_kaede,
楓カレン,,枫花恋,楓カレン,田中レモン、楓可憐,,1999-08-25,O,162,,82 - 56 - 81,D,TRUE,2022,2018-04-20,FALENO,honmononokaren,kaedekaren0825,,
榊梨々亜,,,榊梨々亜,,,1993-01-30,O,155,,83 - 57 - 83,D,TRUE,2017,2016,アイデアポケット,,,,
